AL	129	102
AK	188	67
AZ	257	131
AR	355	174
CA	469	214
CO	542	148
CT	542	148
DE	417	229
FL	389	244
GA	191	246
HI	243	286
ID	293	275
IL	410	294
IN	390	348
IA	367	356
KS	307	330
KY	274	292
LA	214	254
ME	105	185
MD	37	148
MA	37	148
MI	97	131
MN	172	127
MS	228	140
MO	397	193
MT	495	226
NE	508	212
NV	513	146
NH	513	145
NJ	311	68
NM	298	67
NY	170	87
NC	87	119
ND	69	254
OH	71	291
OK	221	335
OR	465	360
PA	564	360
RI	590	303
SC	590	235
SD	594	124
TN	595	124
TX	584	107
UT	569	86
VT	533	70
VA	394	55
WA	378	58
WV	179	57
WI	161	60
WY	106	71
